Entry	Date	Description	Documents
-	2026-03-09		Clerk's Notice Setting Zoom Hearing
1	2026-03-09	COMPLAINT for Declaratory and Injunctive Relief against All Defendants ( Filing fee $ 405, receipt number ACANDC-21731347.). Injunction against the US government/official or APA vacatur requested. Filed by Anthropic PBC. (Attachments: # 1 Exhibit 1, # 2 Exhibit 2, # 3 Exhibit 3)(Mongan, Michael) (Filed on 3/9/2026) (Entered: 03/09/2026)	Complaint || Exhibit 1 || Exhibit 2 || Exhibit 3
-	2026-03-09		~Util - Case Assigned by Intake
-	2026-03-09		Notice of Appearance/Substitution/Change/Withdrawal of Attorney
2	2026-03-09	Proposed Summons. (Mongan, Michael) (Filed on 3/9/2026) (Entered: 03/09/2026)	Proposed Summons
3	2026-03-09	Corporate Disclosure Statement by Anthropic PBC identifying Other Affiliate Google LLC, Other Affiliate Amazon Web Services, Inc. for Anthropic PBC. / Anthropic PBC's Disclosure Statement Pursuant to Federal Rule of Civil Procedure 7.1 and Civil Local Rule 3-15 Certification of Conflicts and Interested Entities or Persons (Mongan, Michael) (Filed on 3/9/2026) (Entered: 03/09/2026)	Certificate of Interested Entities
4	2026-03-09	CONSENT/DECLINATION to Proceed Before a US Magistrate Judge by Anthropic PBC.. (Mongan, Michael) (Filed on 3/9/2026) (Entered: 03/09/2026)	Consent/Declination to Proceed Before a US Magistrate Judge
5	2026-03-09	Case assigned to Judge Rita F. Lin. Counsel for plaintiff or the removing party is responsible for serving the Complaint or Notice of Removal, Summons and the assigned judge's standing orders and all other new case documents upon the opposing parties. For information, visit E-Filing A New Civil Case at http://cand.uscourts.gov/ecf/caseopening.Standing orders can be downloaded from the court's web 	Case Assigned by Intake
6	2026-03-09	MOTION for Temporary Restraining Order, MOTION for Preliminary Injunction, MOTION to Stay Pursuant to Section 705 filed by Anthropic PBC. Responses due by 3/11/2026. Replies due by 3/12/2026. (Attachments: # 1 Declaration of Jared Kaplan in Support, # 2 Declaration of Sarah Heck in Support, # 3 Declaration of Thiyagu Ramasamy in Support, # 4 Declaration of Paul Smith in Support, # 5 Declaration of	Motion for TRO || Declaration of Jared Kaplan in Support || Declaration of Sarah Heck in Support || Declaration of Thiyagu Ramasamy in Support || Declaration of Paul Smith in Support || Declaration of Krishna Rao in Support || Declaration of Michael J. Mongan in Support || Exhibit 1 to Declaration of Michael J. Mongan || Exhibit 2 to Declaration of Michael J. Mongan || Exhibit 3 to Declaration of Michael J. Mongan || Exhibit 4 to Declaration of Michael J. Mongan || Exhibit 5 to Declaration of Michael J. Mongan || Exhibit 6 to Declaration of Michael J. Mongan || Exhibit 7 to Declaration of Michael J. Mongan || Exhibit 8 to Declaration of Michael J. Mongan || Exhibit 9 to Declaration of Michael J. Mongan || Exhibit 10 to Declaration of Michael J. Mongan || Exhibit 11 to Declaration of Michael J. Mongan || Exhibit 12 to Declaration of Michael J. Mongan || Exhibit 13 to Declaration of Michael J. Mongan || Exhibit 14 to Declaration of Michael J. Mongan || Exhibit 15 to Declaration of Michael J. Mongan || Exhibit 16 to Declaration of Michael J. Mongan || Exhibit 17 to Declaration of Michael J. Mongan || Exhibit 18 to Declaration of Michael J. Mongan || Exhibit 19 to Declaration of Michael J. Mongan || Exhibit 20 to Declaration of Michael J. Mongan || Exhibit 21 to Declaration of Michael J. Mongan || Exhibit 22 to Declaration of Michael J. Mongan || Exhibit 23 to Declaration of Michael J. Mongan || Exhibit 24 to Declaration of Michael J. Mongan || Exhibit 25 to Declaration of Michael J. Mongan || Exhibit 26 to Declaration of Michael J. Mongan || Exhibit 27 to Declaration of Michael J. Mongan || Proposed Order
7	2026-03-09	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21731784.) filed by Anthropic PBC. (Barnet, Emily) (Filed on 3/9/2026) (Entered: 03/09/2026)	Motion for Pro Hac Vice
8	2026-03-09	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21731872.) filed by Anthropic PBC. (Geltzer, Joshua) (Filed on 3/9/2026) (Entered: 03/09/2026)	Motion for Pro Hac Vice
