Entry	Date	Description
-	2026-03-09	PETITION FOR REVIEW CASE docketed. [26-1049] [Entered: 03/09/2026 12:26 PM]
1208828684	2026-03-09	PETITION FOR REVIEW [2162687] of a decision by federal agency filed by Anthropic PBC [Service Date: 03/09/2026] Disclosure Statement: Attached. [26-1049] [Entered: 03/09/2026 12:27 PM]
1208828687	2026-03-09	CERTIFIED COPY [2162688] of Petition for Review sent to respondent [2162687-2]. [26-1049] [Entered: 03/09/2026 12:28 PM]
1208828702	2026-03-09	CLERK'S ORDER [2162695] filed directing the parties to file initial submissions: PETITIONER docketing statement due 04/08/2026. PETITIONER certificate as to parties due 04/08/2026. PETITIONER statement of issues due 04/08/2026. PETITIONER underlying decision due 04/08/2026. PETITIONER deferred appendix statement due 04/08/2026. PETITIONER procedural motions due 04/08/2026. PETITIONER dispositive m
1208829345	2026-03-10	ENTRY OF APPEARANCE [2163025] filed by Sharon Swingle and co-counsel Sean R. Janda; Brian J. Springer on behalf of Respondents Peter B. Hegseth and United States Department of War. [26-1049] (Janda, Sean) [Entered: 03/10/2026 06:02 PM]
1208829653	2026-03-11	EMERGENCY MOTION [2163176] to stay underlying order pending appeal filed by Anthropic PBC (Service Date: 03/11/2026 by CM/ECF NDA) Length Certification: 5,188 Words. [26-1049] (Dunbar, Kelly) [Entered: 03/11/2026 11:15 PM]
1208829661	2026-03-12	MOTION [2163178] to participate as amicus curiae [Disclosure Listing: Attached] filed by Foundation for American Innovation, Fifty Years, Fathom, ChinaTalk, Martin Chorzempa, Alex Imas, Pangram, Institute for Progress, Dean Ball, Dwarkesh Patel, Roots of Progress, Saif Khan [Service Date: 03/12/2026 ] [26-1049] (Hwang, Tim) [Entered: 03/12/2026 12:38 AM]
1208829735	2026-03-12	AMICUS FOR PETITIONER BRIEF [2163215] lodged by Dean Ball, ChinaTalk, Martin Chorzempa, Fathom, Fifty Years, Foundation for American Innovation, Alex Imas, Institute for Progress, Saif Khan, Pangram, Dwarkesh Patel and Roots of Progress [Service Date: 03/12/2026 ] Length of Brief: 3,541 words. [26-1049] [Entered: 03/12/2026 10:31 AM]
1208829854	2026-03-12	MOTION [2163273] to participate as amicus curiae [Disclosure Listing: Not Applicable to this Party] filed by Former Service Secretaries and Retired Senior Military Officers [Service Date: 03/12/2026 ] [26-1049] (Harrington, Sarah) [Entered: 03/12/2026 01:38 PM]
1208829888	2026-03-12	AMICUS FOR PETITIONER BRIEF [2163300] lodged by Former Service Secretaries and Retired Senior Military Officers [Service Date: 03/12/2026 ] Length of Brief: 3,755 words. [26-1049] [Entered: 03/12/2026 02:41 PM]
1208830023	2026-03-12	CONSENT NOTICE [2163366] of intention to participate as amicus curiae [Disclosure Listing: Attached] filed by Employees of Open AI and Google in Their Personal Capacities [Service Date: 03/12/2026 ] [26-1049] (Lev, Ori) [Entered: 03/12/2026 07:18 PM]
1208830045	2026-03-12	AMICUS FOR PETITIONER BRIEF [2163373] filed by Foundation for Individual Rights and Expression, Electronic Frontier Foundation, Cato Institute, Chamber of Progress, and First Amendment Lawyers Association [Service Date: 03/12/2026 ] Length of Brief: 5,151 words. [26-1049] (Shah, Sopen) [Entered: 03/12/2026 09:38 PM]
1208830127	2026-03-13	CONSENT AMICUS FOR PETITIONER BRIEF [2163420] filed by Employees of OpenAI and Google in Their Personal Capacities [Service Date: 03/13/2026 ] Length of Brief: 3,282. [26-1049] (Lev, Ori) [Entered: 03/13/2026 09:28 AM]
1208830145	2026-03-13	PER CURIAM ORDER [2163428] filed ORDERED that respondents file a response to the emergency motion for a stay [2163176-2] by March 19, 2026. Petitioner’s reply is due by March 23, 2026. Before Judges: Wilkins, Katsas and Rao. [26-1049] [Entered: 03/13/2026 09:42 AM]
1208830425	2026-03-13	CONSENT NOTICE [2163584] of intention to participate as amicus curiae [Disclosure Listing: Not Applicable to this Party] filed by Professor Alan Z. Rozenshtein [Service Date: 03/13/2026 ] [26-1049] (Theodore, Elisabeth) [Entered: 03/13/2026 03:50 PM]
1208830434	2026-03-13	AMICUS FOR PETITIONER BRIEF [2163588] filed by Professor Alan Z. Rozenshtein [Service Date: 03/13/2026 ] Length of Brief: 4,383 Words. [26-1049] (Theodore, Elisabeth) [Entered: 03/13/2026 03:54 PM]
1208830529	2026-03-13	AMICUS FOR PETITIONER BRIEF [2163623] filed by Freedom Economy Business Association [Service Date: 03/13/2026 ] Length of Brief: 2,449. [26-1049] (Harris, George) [Entered: 03/13/2026 11:56 PM]
1208830718	2026-03-13	ENTRY OF APPEARANCE [2163740] filed by Mr. George C. Harris for Freedom Economy Business Association, Candide Group, Howard Fischer, Thomas Haslett, Investor Advocates for Social Justice, Mission Driven Finance, The Nathan Cummings Foundation, Inc., Omidyar Network LLC and Pluralize Capital. [26-1049] [Entered: 03/16/2026 10:44 AM]
1208831045	2026-03-16	MOTION [2163901] to participate as amicus curiae [Disclosure Listing: Attached] filed by Former Senior National Security Government Officials [Service Date: 03/16/2026 ] [26-1049] (Loeb, Alexis) [Entered: 03/16/2026 05:52 PM]
1208831066	2026-03-16	MOTION [2163907] to participate as amicus curiae [Disclosure Listing: Attached] filed by American Civil Liberties Union and Center for Democracy & Technology [Service Date: 03/16/2026 ] [26-1049] (Gorski, Ashley) [Entered: 03/16/2026 07:03 PM]
1208831071	2026-03-16	AMICUS FOR PETITIONER BRIEF [2163908] lodged by Former Senior National Security Government Officials [Service Date: 03/16/2026 ] Length of Brief: 6,132 Words. [26-1049] [Edited 03/17/2026 by EKC--MODIFIED EVENT FROM FILED TO LODGED] (Loeb, Alexis) [Entered: 03/16/2026 07:10 PM]
1208831083	2026-03-16	AMENDED AMICUS FOR PETITIONER BRIEF [2163912] filed by Freedom Economy Business Association [Service Date: 03/16/2026 ] Length of Brief: 2,449. [26-1049]--[Edited 03/17/2026 by EKC] (Harris, George) [Entered: 03/16/2026 07:32 PM]
1208831087	2026-03-16	MOTION [2163913] to participate as amicus curiae [Disclosure Listing: Not Applicable to this Party] filed by Catholic Theologians and Ethicists [Service Date: 03/16/2026 ] [26-1049] (Klubes, Benjamin) [Entered: 03/16/2026 07:45 PM]
